available_bike_stands,temperature,hour,surface_pressure,apparent_temperature
11,6.4,22,975.8,3.7
6,5.8,23,976.2,3.2
11,4.3,0,976.2,1.9
12,4.5,1,975.9,1.9
12,3.8,2,975.1,1.1
13,2.9,3,974.5,0.1
12,3.1,4,974.1,0.1
12,3.1,5,973.8,0.3
17,4.0,6,973.9,0.7
19,6.7,7,973.8,3.0
22,13.9,9,973.1,9.6
20,14.6,10,972.8,10.5
18,15.2,11,972.0,11.2
17,15.3,12,971.5,11.4
21,15.9,13,970.9,11.8
22,15.3,14,970.4,10.8
5,14.7,15,970.3,10.1
5,13.5,16,970.4,9.2
9,12.3,17,970.5,8.1
3,11.4,18,970.4,7.7
0,11.0,19,970.0,8.3
2,10.3,21,969.3,8.4
3,10.0,22,969.1,7.9
2,10.1,23,969.2,7.7
8,10.0,0,968.6,7.9
22,9.7,1,968.5,7.4
22,9.4,2,967.9,7.1
22,9.7,3,967.6,7.5
22,9.1,4,967.0,6.5
22,8.8,5,967.0,7.0
22,8.9,6,966.7,6.5
15,10.0,7,966.5,7.6
20,11.7,8,966.9,9.2
13,13.0,9,966.5,10.2
16,16.7,11,965.4,14.1
20,17.5,12,964.3,14.2
15,18.1,13,963.4,15.2
14,17.8,14,962.8,14.8
16,16.7,16,962.2,15.1
12,15.1,17,961.6,14.8
11,14.3,18,961.3,14.0
5,13.5,19,961.1,13.3
5,13.9,20,960.6,13.0
8,12.9,21,960.8,11.1
2,11.9,22,961.0,9.8
1,11.8,23,962.0,9.5
5,12.2,0,961.4,7.6
5,11.5,1,960.8,7.6
5,11.0,2,962.2,5.8
5,10.6,3,963.4,7.1
5,10.1,4,963.9,5.1
13,10.4,6,965.4,5.7
18,11.8,7,966.4,8.1
22,13.4,8,966.9,9.7
22,14.6,9,967.8,10.8
7,15.9,10,968.5,12.3
9,15.6,11,969.9,11.7
21,15.2,12,969.8,11.7
14,14.4,13,970.0,11.1
17,12.1,14,970.2,9.9
1,12.2,15,969.4,10.0
9,11.7,16,969.1,9.6
12,10.6,17,969.3,8.3
15,9.9,18,969.5,8.3
21,10.0,20,971.8,9.1
14,9.9,21,975.0,7.5
14,8.5,22,977.1,5.3
9,7.4,23,977.1,5.5
9,6.5,0,978.4,4.8
12,6.1,1,979.0,4.6
13,5.8,2,979.3,4.2
13,5.3,3,979.7,3.5
13,5.1,4,979.7,3.1
12,4.9,5,980.1,3.2
21,5.4,6,980.3,3.6
21,7.3,7,980.3,5.8
22,11.5,8,980.2,9.5
14,15.2,9,980.1,13.1
20,18.5,10,979.9,15.8
22,18.7,11,979.8,16.2
22,18.7,12,979.7,16.1
21,18.8,13,979.8,16.4
22,17.8,14,979.4,15.8
5,17.7,15,979.6,15.9
12,17.4,16,979.3,15.5
14,16.2,17,978.4,13.9
18,16.1,18,978.4,14.0
15,16.5,19,978.7,14.4
12,16.9,20,979.1,13.9
11,16.7,21,980.2,14.4
5,14.8,22,980.2,13.5
6,14.7,23,980.5,13.1
0,14.0,0,980.4,12.5
