available_bike_stands,surface_pressure,day_of_week,temperature,apparent_temperature
15,978.3,0,9.1,4.7
15,978.2,0,10.8,6.2
22,978.2,0,12.0,7.8
21,977.8,0,12.5,8.5
20,976.7,0,13.8,10.6
22,976.1,0,14.0,10.7
20,975.7,0,13.8,10.5
16,975.4,0,13.4,10.1
18,975.4,0,11.9,8.8
18,975.6,0,9.7,7.1
22,975.9,0,7.6,5.3
17,976.0,0,7.4,4.6
15,975.9,0,7.1,4.2
15,975.8,0,6.4,3.7
14,976.2,0,5.8,3.2
15,976.2,1,4.3,1.9
14,975.9,1,4.5,1.9
14,975.1,1,3.8,1.1
14,974.5,1,2.9,0.1
16,974.1,1,3.1,0.1
17,973.8,1,3.1,0.3
21,973.9,1,4.0,0.7
22,973.8,1,6.7,3.0
13,973.1,1,13.9,9.6
17,972.8,1,14.6,10.5
20,972.0,1,15.2,11.2
12,971.5,1,15.3,11.4
14,970.9,1,15.9,11.8
16,970.4,1,15.3,10.8
16,970.3,1,14.7,10.1
22,970.4,1,13.5,9.2
20,970.5,1,12.3,8.1
18,970.4,1,11.4,7.7
11,970.0,1,11.0,8.3
0,969.3,1,10.3,8.4
2,969.1,1,10.0,7.9
0,969.2,1,10.1,7.7
4,968.6,2,10.0,7.9
6,968.5,2,9.7,7.4
9,967.9,2,9.4,7.1
15,967.6,2,9.7,7.5
22,967.0,2,9.1,6.5
22,967.0,2,8.8,7.0
22,966.7,2,8.9,6.5
7,966.5,2,10.0,7.6
20,966.9,2,11.7,9.2
11,966.5,2,13.0,10.2
11,965.4,2,16.7,14.1
14,964.3,2,17.5,14.2
16,963.4,2,18.1,15.2
21,962.8,2,17.8,14.8
11,962.2,2,16.7,15.1
8,961.6,2,15.1,14.8
11,961.3,2,14.3,14.0
11,961.1,2,13.5,13.3
10,960.6,2,13.9,13.0
10,960.8,2,12.9,11.1
11,961.0,2,11.9,9.8
8,962.0,2,11.8,9.5
8,961.4,3,12.2,7.6
8,960.8,3,11.5,7.6
8,962.2,3,11.0,5.8
8,963.4,3,10.6,7.1
8,963.9,3,10.1,5.1
16,965.4,3,10.4,5.7
10,966.4,3,11.8,8.1
19,966.9,3,13.4,9.7
11,967.8,3,14.6,10.8
11,968.5,3,15.9,12.3
10,969.9,3,15.6,11.7
9,969.8,3,15.2,11.7
9,970.0,3,14.4,11.1
15,970.2,3,12.1,9.9
14,969.4,3,12.2,10.0
19,969.1,3,11.7,9.6
13,969.3,3,10.6,8.3
13,969.5,3,9.9,8.3
12,971.8,3,10.0,9.1
12,975.0,3,9.9,7.5
11,977.1,3,8.5,5.3
11,977.1,3,7.4,5.5
11,978.4,4,6.5,4.8
11,979.0,4,6.1,4.6
11,979.3,4,5.8,4.2
11,979.7,4,5.3,3.5
11,979.7,4,5.1,3.1
12,980.1,4,4.9,3.2
14,980.3,4,5.4,3.6
6,980.3,4,7.3,5.8
10,980.2,4,11.5,9.5
13,980.1,4,15.2,13.1
16,979.9,4,18.5,15.8
20,979.8,4,18.7,16.2
22,979.7,4,18.7,16.1
9,979.8,4,18.8,16.4
10,979.4,4,17.8,15.8
12,979.6,4,17.7,15.9
13,979.3,4,17.4,15.5
10,978.4,4,16.2,13.9
11,978.4,4,16.1,14.0
9,978.7,4,16.5,14.4
10,979.1,4,16.9,13.9
10,980.2,4,16.7,14.4
8,980.2,4,14.8,13.5
7,980.5,4,14.7,13.1
7,980.4,5,14.0,12.5
6,980.3,5,12.1,10.6
6,980.2,5,11.7,10.2
5,979.7,5,10.6,9.4
6,979.5,5,10.7,9.6
7,979.5,5,12.7,11.7
7,979.9,5,14.8,14.1
11,979.4,5,18.5,18.3
13,978.9,5,21.5,19.1
13,978.6,5,21.5,19.7
15,977.9,5,22.0,20.4
13,977.3,5,22.6,19.8
17,976.4,5,22.2,19.5
17,976.2,5,22.1,20.0
16,975.5,5,21.6,19.7
21,975.4,5,20.1,18.1
21,976.3,5,17.1,14.9
18,975.7,5,14.8,13.1
17,975.7,5,14.8,13.1
