available_bike_stands,surface_pressure,day_of_week,dew_point,relative_humidity
6,973.1,1,-3.0,31.0
6,972.8,1,-1.5,33.0
9,972.0,1,-1.4,32.0
7,971.5,1,-0.1,35.0
7,970.9,1,0.4,35.0
8,970.4,1,-0.1,35.0
8,970.3,1,-0.6,35.0
8,970.4,1,0.5,41.0
9,970.5,1,-1.6,38.0
10,970.4,1,-0.4,44.0
11,970.0,1,-0.2,46.0
11,969.3,1,2.4,58.0
9,969.1,1,2.6,60.0
9,969.2,1,2.0,57.0
8,968.6,2,2.1,58.0
8,968.5,2,2.3,60.0
8,967.9,2,2.5,62.0
8,967.6,2,2.1,59.0
8,967.0,2,1.8,60.0
8,967.0,2,2.5,65.0
8,966.7,2,1.7,61.0
11,966.5,2,2.1,58.0
14,966.9,2,4.2,60.0
13,966.5,2,4.4,56.0
15,965.4,2,7.0,53.0
16,964.3,2,7.2,51.0
17,963.4,2,7.5,50.0
9,962.8,2,8.4,54.0
8,962.2,2,9.9,64.0
8,961.6,2,11.1,77.0
10,961.3,2,11.8,85.0
10,961.1,2,12.2,92.0
10,960.6,2,10.3,79.0
10,960.8,2,8.8,76.0
10,961.0,2,6.8,71.0
10,962.0,2,5.8,67.0
10,961.4,3,2.1,50.0
10,960.8,3,1.4,50.0
10,962.2,3,0.1,47.0
10,963.4,3,0.3,49.0
10,963.9,3,1.2,54.0
10,965.4,3,2.0,56.0
13,966.4,3,1.7,50.0
15,966.9,3,1.7,45.0
16,967.8,3,2.2,43.0
16,968.5,3,2.0,39.0
16,969.9,3,3.1,43.0
14,969.8,3,4.0,47.0
13,970.0,3,5.2,54.0
16,970.2,3,6.2,67.0
13,969.4,3,6.0,66.0
14,969.1,3,7.2,74.0
12,969.3,3,7.8,83.0
13,969.5,3,8.4,90.0
16,971.8,3,8.2,89.0
16,975.0,3,7.1,83.0
16,977.1,3,3.1,69.0
16,977.1,3,3.8,78.0
16,978.4,4,4.0,84.0
16,979.0,4,4.8,91.0
16,979.3,4,4.7,93.0
16,979.7,4,4.2,93.0
16,979.7,4,3.6,90.0
16,980.1,4,3.4,90.0
17,980.3,4,3.7,89.0
20,980.3,4,4.7,84.0
15,980.2,4,7.2,75.0
13,980.1,4,8.9,66.0
14,979.9,4,7.3,48.0
14,979.8,4,8.1,50.0
13,979.7,4,8.9,53.0
12,979.8,4,9.3,54.0
9,979.4,4,9.7,59.0
12,979.6,4,9.3,58.0
12,979.3,4,9.3,59.0
13,978.4,4,9.6,65.0
13,978.4,4,8.3,60.0
12,978.7,4,7.4,55.0
13,979.1,4,6.7,51.0
11,980.2,4,6.5,51.0
11,980.2,4,7.8,63.0
10,980.5,4,6.7,59.0
9,980.4,5,6.8,62.0
9,980.3,5,6.4,68.0
10,980.2,5,6.8,72.0
9,979.7,5,7.5,81.0
9,979.5,5,7.6,81.0
9,979.5,5,8.0,73.0
2,979.9,5,9.1,69.0
3,979.4,5,10.0,58.0
4,978.9,5,5.4,35.0
4,978.6,5,7.3,40.0
2,977.9,5,8.2,41.0
3,977.3,5,6.3,35.0
5,976.4,5,6.4,36.0
7,976.2,5,7.5,39.0
7,975.5,5,7.4,40.0
5,975.4,5,5.7,39.0
8,976.3,5,4.0,42.0
7,975.7,5,5.9,55.0
7,975.7,5,5.9,55.0
10,976.1,5,6.6,62.0
