available_bike_stands,temperature,apparent_temperature,hour,surface_pressure
6,13.9,13.0,20,960.6
4,12.9,11.1,21,960.8
4,11.9,9.8,22,961.0
6,11.8,9.5,23,962.0
7,12.2,7.6,0,961.4
7,11.5,7.6,1,960.8
7,11.0,5.8,2,962.2
7,10.6,7.1,3,963.4
8,10.1,5.1,4,963.9
13,10.4,5.7,6,965.4
20,11.8,8.1,7,966.4
11,13.4,9.7,8,966.9
11,14.6,10.8,9,967.8
12,15.9,12.3,10,968.5
13,15.6,11.7,11,969.9
8,15.2,11.7,12,969.8
10,14.4,11.1,13,970.0
5,12.1,9.9,14,970.2
12,12.2,10.0,15,969.4
13,11.7,9.6,16,969.1
15,10.6,8.3,17,969.3
13,9.9,8.3,18,969.5
10,10.0,9.1,20,971.8
10,9.9,7.5,21,975.0
10,8.5,5.3,22,977.1
10,7.4,5.5,23,977.1
11,6.5,4.8,0,978.4
11,6.1,4.6,1,979.0
11,5.8,4.2,2,979.3
11,5.3,3.5,3,979.7
12,5.1,3.1,4,979.7
12,4.9,3.2,5,980.1
16,5.4,3.6,6,980.3
19,7.3,5.8,7,980.3
14,11.5,9.5,8,980.2
11,15.2,13.1,9,980.1
12,18.5,15.8,10,979.9
13,18.7,16.2,11,979.8
14,18.7,16.1,12,979.7
18,18.8,16.4,13,979.8
20,17.8,15.8,14,979.4
15,17.7,15.9,15,979.6
15,17.4,15.5,16,979.3
15,16.2,13.9,17,978.4
17,16.1,14.0,18,978.4
16,16.5,14.4,19,978.7
8,16.9,13.9,20,979.1
10,16.7,14.4,21,980.2
10,14.8,13.5,22,980.2
12,14.7,13.1,23,980.5
14,14.0,12.5,0,980.4
13,12.1,10.6,1,980.3
13,11.7,10.2,2,980.2
14,10.6,9.4,5,979.7
17,10.7,9.6,6,979.5
18,12.7,11.7,7,979.5
18,14.8,14.1,8,979.9
18,18.5,18.3,9,979.4
19,21.5,19.1,10,978.9
19,21.5,19.7,11,978.6
16,22.0,20.4,12,977.9
18,22.6,19.8,13,977.3
18,22.2,19.5,14,976.4
18,22.1,20.0,15,976.2
17,21.6,19.7,16,975.5
16,20.1,18.1,17,975.4
14,17.1,14.9,19,976.3
14,14.8,13.1,20,975.7
16,14.8,13.1,20,975.7
15,13.8,12.2,21,976.1
