available_bike_stands,hour,surface_pressure,is_day,apparent_temperature,date
20,9,980.1454545454545,1,22.2,2023-06-30 09:00:00+00:00
18,10,980.0666666666667,1,24.955555555555556,2023-06-30 10:00:00+00:00
20,11,979.6333333333332,1,27.477777777777774,2023-06-30 11:00:00+00:00
17,12,978.9399999999999,1,28.8,2023-06-30 12:00:00+00:00
15,13,978.4222222222223,1,29.033333333333335,2023-06-30 13:00:00+00:00
16,14,977.75,1,29.399999999999995,2023-06-30 14:00:00+00:00
19,15,977.1333333333334,1,29.34444444444444,2023-06-30 15:00:00+00:00
21,16,976.5555555555555,1,28.177777777777777,2023-06-30 16:00:00+00:00
19,17,975.7111111111111,1,27.155555555555555,2023-06-30 17:00:00+00:00
20,18,975.2333333333333,1,26.11111111111111,2023-06-30 18:00:00+00:00
17,19,975.2875,0,25.9125,2023-06-30 19:00:00+00:00
15,20,975.3285714285714,0,24.485714285714288,2023-06-30 20:00:00+00:00
11,21,975.5444444444444,0,21.522222222222222,2023-06-30 21:00:00+00:00
8,22,975.96,0,20.22,2023-06-30 22:00:00+00:00
11,23,976.1500000000001,0,20.599999999999998,2023-06-30 23:00:00+00:00
7,0,976.1,0,20.82857142857143,2023-07-01 00:00:00+00:00
5,1,976.1,0,20.82857142857143,2023-07-01 01:00:00+00:00
4,2,975.9857142857143,0,20.714285714285715,2023-07-01 02:00:00+00:00
4,3,976.0999999999999,0,20.400000000000002,2023-07-01 03:00:00+00:00
4,4,976.3571428571429,0,20.342857142857145,2023-07-01 04:00:00+00:00
5,5,976.5875,0,20.5375,2023-07-01 05:00:00+00:00
10,6,976.4714285714286,1,20.614285714285717,2023-07-01 06:00:00+00:00
13,7,976.7,1,21.4,2023-07-01 07:00:00+00:00
16,8,976.9285714285714,1,22.614285714285717,2023-07-01 08:00:00+00:00
18,9,976.9111111111112,1,22.555555555555557,2023-07-01 09:00:00+00:00
20,10,976.875,1,22.6375,2023-07-01 10:00:00+00:00
18,11,976.75,1,23.15,2023-07-01 11:00:00+00:00
16,12,976.6555555555556,1,23.31111111111111,2023-07-01 12:00:00+00:00
17,13,976.4285714285714,1,23.62857142857143,2023-07-01 13:00:00+00:00
17,14,975.96,1,24.52,2023-07-01 14:00:00+00:00
20,15,975.6,1,25.0,2023-07-01 15:00:00+00:00
20,16,982.7,1,23.0,2023-07-03 16:00:00+00:00
16,17,982.5714285714286,1,22.957142857142856,2023-07-03 17:00:00+00:00
10,18,982.2714285714285,1,22.771428571428572,2023-07-03 18:00:00+00:00
8,19,982.2777777777778,0,22.288888888888888,2023-07-03 19:00:00+00:00
6,20,982.3857142857142,0,21.957142857142856,2023-07-03 20:00:00+00:00
5,21,982.5499999999998,0,21.599999999999998,2023-07-03 21:00:00+00:00
5,22,983.0,0,20.849999999999998,2023-07-03 22:00:00+00:00
5,23,982.85,0,20.2,2023-07-03 23:00:00+00:00
5,0,982.9499999999999,0,19.849999999999998,2023-07-04 00:00:00+00:00
4,1,983.0,0,19.285714285714285,2023-07-04 01:00:00+00:00
3,2,982.6500000000001,0,18.55,2023-07-04 02:00:00+00:00
3,3,982.8222222222222,0,18.2,2023-07-04 03:00:00+00:00
5,4,983.1,0,18.3,2023-07-04 04:00:00+00:00
14,5,983.1600000000001,0,18.46,2023-07-04 05:00:00+00:00
21,6,983.2888888888889,1,18.633333333333333,2023-07-04 06:00:00+00:00
21,7,983.5636363636364,1,19.672727272727272,2023-07-04 07:00:00+00:00
21,8,983.82,1,20.8,2023-07-04 08:00:00+00:00
20,9,984.0,1,22.45,2023-07-04 09:00:00+00:00
20,10,984.2,1,23.549999999999997,2023-07-04 10:00:00+00:00
21,11,984.3571428571429,1,25.099999999999998,2023-07-04 11:00:00+00:00
19,12,984.3444444444444,1,26.655555555555555,2023-07-04 12:00:00+00:00
14,13,983.75,1,27.1,2023-07-04 13:00:00+00:00
14,14,983.2,1,27.25,2023-07-04 14:00:00+00:00
