,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
113,2023-06-26 20:24:32+00:00,6.676800531235448,45,12.9,10.137772121011121,0.0,0.0,4.3429198583464165e+129,22,3
123,2023-06-26 20:35:29+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,2
125,2023-06-26 20:44:22+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,1
126,2023-06-26 20:54:27+00:00,6.340423634497598,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,1
124,2023-06-26 20:57:49+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,0
127,2023-06-26 21:04:33+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,0
129,2023-06-26 21:14:39+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,0
128,2023-06-26 21:24:44+00:00,6.3402731188179695,55,13.9,9.854658078961616,0.0,0.0,4.401473455177951e+129,22,0
130,2023-06-26 21:34:49+00:00,6.031343516325652,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,0
131,2023-06-26 21:44:55+00:00,6.031184752174462,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,1
132,2023-06-26 21:55:00+00:00,6.031184752174462,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,0
135,2023-06-26 22:05:05+00:00,6.031184752174462,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,0
133,2023-06-26 22:15:10+00:00,6.031184752174462,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,0
134,2023-06-26 22:25:15+00:00,6.031184752174462,65,14.7,9.36273486090842,0.0,0.0,4.401473455177951e+129,22,0
136,2023-06-26 22:35:21+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
141,2023-06-26 22:45:26+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
137,2023-06-26 22:55:30+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
138,2023-06-26 23:05:35+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
139,2023-06-26 23:15:41+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
140,2023-06-26 23:25:46+00:00,5.480941561855406,82,15.1,8.333395523540817,0.0,0.0,4.3043077406118376e+129,22,0
145,2023-06-26 23:35:51+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
146,2023-06-26 23:45:56+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
144,2023-06-26 23:56:02+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
142,2023-06-27 00:06:07+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
143,2023-06-27 00:16:13+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
147,2023-06-27 00:26:18+00:00,5.356676236797076,83,14.6,8.112932447853103,0.0,0.0,4.285127686490636e+129,22,0
152,2023-06-27 00:36:23+00:00,5.445734148546413,79,14.3,8.176247185080943,0.0,0.0,4.285127686490636e+129,22,0
151,2023-06-27 00:46:28+00:00,5.445734148546413,79,14.3,8.176247185080943,0.0,0.0,4.285127686490636e+129,22,0
