available_bike_stands,surface_pressure,dew_point,day_of_week,apparent_temperature
19,977.5,3.3,5,2.7
19,979.9,2.5,5,2.5
18,980.2,2.6,5,3.1
18,979.4,2.4,5,3.8
18,979.7,2.7,5,3.9
18,979.5,2.8,6,1.5
18,979.9,2.0,6,0.7
18,979.3,2.1,6,1.5
18,978.9,2.2,6,1.7
18,979.0,2.7,6,2.1
18,978.4,0.6,6,2.5
18,979.0,1.1,6,2.4
18,978.8,1.6,6,3.1
18,979.1,1.8,6,5.1
17,978.6,2.0,6,6.7
17,977.7,1.4,6,8.1
18,977.1,0.2,6,9.0
18,976.2,-2.2,6,9.7
17,975.3,-1.4,6,9.8
20,974.8,-0.9,6,7.8
18,974.9,-0.5,6,7.6
19,975.5,4.1,6,5.5
19,976.8,2.0,6,2.1
20,976.9,2.2,6,2.8
20,977.2,2.3,6,2.2
20,977.1,1.5,6,1.5
19,976.7,1.3,6,1.1
19,977.0,1.1,6,0.9
20,977.1,0.2,0,0.3
20,977.1,-0.2,0,-0.4
20,976.9,-0.8,0,0.1
20,977.3,-1.3,0,0.1
20,977.2,-2.2,0,-0.0
18,978.3,-1.7,0,0.6
19,978.4,-1.5,0,2.7
3,978.3,-0.0,0,4.7
7,978.2,-1.6,0,6.2
1,978.2,-3.4,0,7.8
2,977.8,-3.8,0,8.5
5,976.7,-4.9,0,10.6
9,976.1,-4.3,0,10.7
13,975.7,-3.5,0,10.5
10,975.4,-3.0,0,10.1
12,975.4,-1.3,0,8.8
14,975.6,0.0,0,7.1
15,975.9,0.3,0,5.3
15,976.0,-1.0,0,4.6
17,975.9,-2.3,0,4.2
17,975.8,-1.3,0,3.7
18,976.2,-0.7,0,3.2
17,976.2,0.2,1,1.9
17,975.9,-2.1,1,1.9
17,975.1,-2.2,1,1.1
17,974.5,-2.6,1,0.1
17,974.1,-2.3,1,0.1
17,973.8,-2.2,1,0.3
14,973.9,-2.2,1,0.7
1,973.8,-1.9,1,3.0
9,973.1,-3.0,1,9.6
7,972.8,-1.5,1,10.5
3,972.0,-1.4,1,11.2
8,971.5,-0.1,1,11.4
4,970.9,0.4,1,11.8
7,970.4,-0.1,1,10.8
19,970.3,-0.6,1,10.1
17,970.4,0.5,1,9.2
19,970.5,-1.6,1,8.1
20,970.4,-0.4,1,7.7
17,970.0,-0.2,1,8.3
12,969.3,2.4,1,8.4
15,969.1,2.6,1,7.9
16,969.2,2.0,1,7.7
17,968.6,2.1,2,7.9
17,968.5,2.3,2,7.4
17,967.9,2.5,2,7.1
17,967.6,2.1,2,7.5
17,967.0,1.8,2,6.5
17,967.0,2.5,2,7.0
19,966.7,1.7,2,6.5
17,966.5,2.1,2,7.6
18,966.9,4.2,2,9.2
18,966.5,4.4,2,10.2
16,965.4,7.0,2,14.1
19,964.3,7.2,2,14.2
19,963.4,7.5,2,15.2
18,962.8,8.4,2,14.8
16,962.2,9.9,2,15.1
16,961.6,11.1,2,14.8
17,961.3,11.8,2,14.0
17,961.1,12.2,2,13.3
18,960.6,10.3,2,13.0
18,960.8,8.8,2,11.1
17,961.0,6.8,2,9.8
17,962.0,5.8,2,9.5
16,961.4,2.1,3,7.6
16,960.8,1.4,3,7.6
16,962.2,0.1,3,5.8
