available_bike_stands,surface_pressure,day_of_week,dew_point,apparent_temperature
8,986.4,0,3.8,6.4
8,985.7,0,3.3,6.9
12,985.5,0,3.6,8.1
13,985.4,0,3.4,8.8
13,984.7,0,3.5,9.6
12,983.8,0,3.6,10.1
11,983.0,0,3.8,10.5
7,982.7,0,4.0,9.9
6,982.9,0,3.9,8.8
5,983.6,0,4.1,8.6
2,984.1,0,4.3,8.4
2,984.7,0,4.8,8.4
0,985.0,0,5.6,7.8
0,985.7,0,4.7,7.1
0,986.1,0,3.3,7.0
0,986.4,0,2.5,5.5
1,987.1,1,0.1,4.4
1,986.8,1,-0.9,3.7
1,987.3,1,-1.3,2.9
1,988.1,1,-1.7,2.0
1,988.4,1,-2.2,1.7
4,989.1,1,-2.3,1.1
7,989.7,1,-2.3,1.2
10,990.2,1,-2.6,1.6
10,990.5,1,-3.1,2.1
10,990.4,1,-3.5,2.8
9,990.0,1,-3.2,4.4
9,990.1,1,-2.5,5.2
4,989.7,1,-2.1,5.1
3,989.6,1,-1.8,5.8
0,989.7,1,-1.0,6.1
1,990.0,1,-1.0,5.9
1,990.4,1,-0.6,5.8
3,991.0,1,0.7,5.5
4,991.7,1,0.7,4.7
3,992.1,1,0.6,3.4
3,992.7,1,0.3,2.9
1,992.8,1,0.1,2.1
1,992.4,1,0.1,0.8
2,992.6,2,-0.1,0.6
2,992.2,2,0.1,-0.1
2,992.2,2,-0.1,-0.3
2,992.3,2,-0.1,-0.3
2,992.0,2,-0.1,-0.3
2,992.2,2,-1.1,-1.5
3,992.3,2,-1.4,-1.2
12,992.7,2,0.6,0.9
13,992.4,2,1.4,3.7
14,992.3,2,2.4,7.2
19,991.8,2,4.3,10.1
18,991.4,2,4.7,11.2
15,990.8,2,4.6,11.5
19,989.9,2,4.4,11.6
17,989.6,2,4.6,11.5
13,989.5,2,5.1,11.2
11,989.5,2,4.0,9.8
9,989.8,2,4.2,8.5
7,990.1,2,4.4,8.3
8,990.2,2,3.7,7.1
7,990.4,2,3.5,6.9
4,990.4,2,3.6,6.0
4,990.4,2,3.9,4.9
4,989.8,3,3.7,5.1
4,990.2,3,3.1,3.2
4,990.0,3,2.8,3.5
4,989.6,3,2.5,3.0
5,989.4,3,2.9,1.0
7,989.4,3,2.5,0.6
10,989.6,3,2.8,3.2
15,989.5,3,4.1,7.4
13,989.4,3,5.0,10.8
17,989.1,3,5.0,13.7
6,989.3,3,5.1,14.9
7,988.8,3,5.8,16.4
4,988.3,3,6.7,16.0
3,988.0,3,6.1,15.6
2,987.8,3,7.1,15.0
13,987.5,3,7.9,15.0
10,988.1,3,8.3,13.5
10,988.7,3,8.8,12.0
11,988.7,3,7.7,10.8
11,989.0,3,6.4,10.0
11,989.8,3,6.2,8.4
11,989.9,3,5.4,8.1
10,990.3,3,6.1,9.5
10,990.3,4,5.2,9.0
10,990.2,4,5.7,9.2
10,990.2,4,5.4,8.7
11,990.0,4,5.3,8.4
11,989.9,4,4.8,7.7
12,989.6,4,5.0,8.1
16,989.9,4,5.1,8.0
17,989.9,4,5.6,9.7
19,990.6,4,5.9,11.6
19,990.3,4,4.2,13.5
11,989.8,4,4.1,14.8
12,987.2,4,3.6,16.0
12,986.1,4,1.2,15.9
9,985.4,4,1.7,15.7
11,985.1,4,0.8,15.5
14,984.5,4,4.9,15.1
10,984.7,4,6.2,12.0
16,984.7,4,4.5,10.3
19,984.3,4,4.0,9.1
15,983.9,4,3.3,8.5
11,983.4,4,3.0,7.7
9,983.4,4,3.0,6.2
10,982.7,5,2.8,6.0
10,982.1,5,3.7,6.0
9,981.4,5,4.3,5.0
8,980.3,5,4.9,4.6
8,979.9,5,5.1,5.5
10,979.9,5,5.0,4.7
9,979.6,5,5.5,7.0
7,978.5,5,5.6,9.3
7,977.7,5,5.5,12.8
8,976.6,5,6.0,15.7
8,975.7,5,6.1,15.8
11,975.0,5,5.5,17.6
6,974.3,5,3.4,15.7
5,973.5,5,4.4,15.9
9,973.2,5,4.1,15.1
11,973.9,5,4.8,13.4
13,977.0,5,2.8,3.5
12,977.5,5,3.3,2.7
11,979.9,5,2.5,2.5
11,980.2,5,2.6,3.1
11,979.4,5,2.4,3.8
10,979.7,5,2.7,3.9
10,979.5,6,2.8,1.5
10,979.9,6,2.0,0.7
10,979.3,6,2.1,1.5
10,978.9,6,2.2,1.7
10,979.0,6,2.7,2.1
10,978.4,6,0.6,2.5
11,979.0,6,1.1,2.4
11,978.8,6,1.6,3.1
11,979.1,6,1.8,5.1
11,978.6,6,2.0,6.7
11,977.7,6,1.4,8.1
12,977.1,6,0.2,9.0
14,976.2,6,-2.2,9.7
13,975.3,6,-1.4,9.8
13,974.8,6,-0.9,7.8
12,974.9,6,-0.5,7.6
12,975.5,6,4.1,5.5
14,976.8,6,2.0,2.1
12,976.9,6,2.2,2.8
12,977.2,6,2.3,2.2
12,977.1,6,1.5,1.5
10,976.7,6,1.3,1.1
17,977.0,6,1.1,0.9
17,977.1,0,0.2,0.3
17,977.1,0,-0.2,-0.4
17,976.9,0,-0.8,0.1
17,977.3,0,-1.3,0.1
19,977.2,0,-2.2,-0.0
20,978.3,0,-1.7,0.6
20,978.4,0,-1.5,2.7
10,978.3,0,-0.0,4.7
10,978.2,0,-1.6,6.2
12,978.2,0,-3.4,7.8
13,977.8,0,-3.8,8.5
14,976.7,0,-4.9,10.6
13,976.1,0,-4.3,10.7
8,975.7,0,-3.5,10.5
7,975.4,0,-3.0,10.1
6,975.4,0,-1.3,8.8
5,975.6,0,0.0,7.1
6,975.9,0,0.3,5.3
3,976.0,0,-1.0,4.6
4,975.9,0,-2.3,4.2
4,975.8,0,-1.3,3.7
3,976.2,0,-0.7,3.2
4,976.2,1,0.2,1.9
4,975.9,1,-2.1,1.9
4,975.1,1,-2.2,1.1
4,974.5,1,-2.6,0.1
4,974.1,1,-2.3,0.1
4,973.8,1,-2.2,0.3
7,973.9,1,-2.2,0.7
13,973.8,1,-1.9,3.0
17,973.1,1,-3.0,9.6
19,972.8,1,-1.5,10.5
11,972.0,1,-1.4,11.2
8,971.5,1,-0.1,11.4
9,970.9,1,0.4,11.8
6,970.4,1,-0.1,10.8
4,970.3,1,-0.6,10.1
3,970.4,1,0.5,9.2
3,970.5,1,-1.6,8.1
3,970.4,1,-0.4,7.7
6,970.0,1,-0.2,8.3
7,969.3,1,2.4,8.4
6,969.1,1,2.6,7.9
7,969.2,1,2.0,7.7
7,968.6,2,2.1,7.9
5,968.5,2,2.3,7.4
5,967.9,2,2.5,7.1
5,967.6,2,2.1,7.5
4,967.0,2,1.8,6.5
5,967.0,2,2.5,7.0
8,966.7,2,1.7,6.5
9,966.5,2,2.1,7.6
12,966.9,2,4.2,9.2
13,966.5,2,4.4,10.2
14,965.4,2,7.0,14.1
12,964.3,2,7.2,14.2
14,963.4,2,7.5,15.2
14,962.8,2,8.4,14.8
6,962.2,2,9.9,15.1
3,961.6,2,11.1,14.8
15,961.3,2,11.8,14.0
15,961.1,2,12.2,13.3
17,960.6,2,10.3,13.0
15,960.8,2,8.8,11.1
15,961.0,2,6.8,9.8
14,962.0,2,5.8,9.5
13,961.4,3,2.1,7.6
13,960.8,3,1.4,7.6
13,962.2,3,0.1,5.8
13,963.4,3,0.3,7.1
14,963.9,3,1.2,5.1
19,965.4,3,2.0,5.7
20,966.4,3,1.7,8.1
20,966.9,3,1.7,9.7
3,967.8,3,2.2,10.8
6,968.5,3,2.0,12.3
7,969.9,3,3.1,11.7
8,969.8,3,4.0,11.7
5,970.0,3,5.2,11.1
10,970.2,3,6.2,9.9
6,969.4,3,6.0,10.0
9,969.1,3,7.2,9.6
8,969.3,3,7.8,8.3
7,969.5,3,8.4,8.3
4,971.8,3,8.2,9.1
4,975.0,3,7.1,7.5
4,977.1,3,3.1,5.3
4,977.1,3,3.8,5.5
4,978.4,4,4.0,4.8
4,979.0,4,4.8,4.6
4,979.3,4,4.7,4.2
4,979.7,4,4.2,3.5
4,979.7,4,3.6,3.1
3,980.1,4,3.4,3.2
5,980.3,4,3.7,3.6
8,980.3,4,4.7,5.8
7,980.2,4,7.2,9.5
8,980.1,4,8.9,13.1
7,979.9,4,7.3,15.8
10,979.8,4,8.1,16.2
7,979.7,4,8.9,16.1
5,979.8,4,9.3,16.4
1,979.4,4,9.7,15.8
2,979.6,4,9.3,15.9
12,979.3,4,9.3,15.5
16,978.4,4,9.6,13.9
15,978.4,4,8.3,14.0
20,978.7,4,7.4,14.4
19,979.1,4,6.7,13.9
19,980.2,4,6.5,14.4
19,980.2,4,7.8,13.5
16,980.5,4,6.7,13.1
14,980.4,5,6.8,12.5
11,980.3,5,6.4,10.6
11,980.2,5,6.8,10.2
8,979.7,5,7.5,9.4
7,979.5,5,7.6,9.6
0,979.5,5,8.0,11.7
0,979.9,5,9.1,14.1
2,979.4,5,10.0,18.3
2,978.9,5,5.4,19.1
4,978.6,5,7.3,19.7
7,977.9,5,8.2,20.4
0,977.3,5,6.3,19.8
2,976.4,5,6.4,19.5
5,976.2,5,7.5,20.0
9,975.5,5,7.4,19.7
12,975.4,5,5.7,18.1
13,976.3,5,4.0,14.9
14,975.7,5,5.9,13.1
13,975.7,5,5.9,13.1
12,976.1,5,6.6,12.2
