available_bike_stands,surface_pressure,day_of_week,apparent_temperature,temperature
8,960.8,2,11.1,12.9
11,961.0,2,9.8,11.9
9,962.0,2,9.5,11.8
8,961.4,3,7.6,12.2
8,960.8,3,7.6,11.5
8,962.2,3,5.8,11.0
8,963.4,3,7.1,10.6
8,963.9,3,5.1,10.1
2,965.4,3,5.7,10.4
5,966.4,3,8.1,11.8
1,966.9,3,9.7,13.4
9,967.8,3,10.8,14.6
7,968.5,3,12.3,15.9
3,969.9,3,11.7,15.6
5,969.8,3,11.7,15.2
6,970.0,3,11.1,14.4
6,970.2,3,9.9,12.1
9,969.4,3,10.0,12.2
9,969.1,3,9.6,11.7
11,969.3,3,8.3,10.6
12,969.5,3,8.3,9.9
12,971.8,3,9.1,10.0
14,975.0,3,7.5,9.9
13,977.1,3,5.3,8.5
14,977.1,3,5.5,7.4
13,978.4,4,4.8,6.5
13,979.0,4,4.6,6.1
12,979.3,4,4.2,5.8
12,979.7,4,3.5,5.3
12,979.7,4,3.1,5.1
12,980.1,4,3.2,4.9
7,980.3,4,3.6,5.4
3,980.3,4,5.8,7.3
3,980.2,4,9.5,11.5
10,980.1,4,13.1,15.2
9,979.9,4,15.8,18.5
9,979.8,4,16.2,18.7
14,979.7,4,16.1,18.7
20,979.8,4,16.4,18.8
17,979.4,4,15.8,17.8
13,979.6,4,15.9,17.7
11,979.3,4,15.5,17.4
17,978.4,4,13.9,16.2
15,978.4,4,14.0,16.1
13,978.7,4,14.4,16.5
10,979.1,4,13.9,16.9
13,980.2,4,14.4,16.7
15,980.2,4,13.5,14.8
16,980.5,4,13.1,14.7
19,980.4,5,12.5,14.0
19,980.3,5,10.6,12.1
19,980.2,5,10.2,11.7
20,979.7,5,9.4,10.6
20,979.5,5,9.6,10.7
19,979.5,5,11.7,12.7
16,979.9,5,14.1,14.8
15,979.4,5,18.3,18.5
11,978.9,5,19.1,21.5
12,978.6,5,19.7,21.5
10,977.9,5,20.4,22.0
15,977.3,5,19.8,22.6
11,976.4,5,19.5,22.2
5,976.2,5,20.0,22.1
3,975.5,5,19.7,21.6
6,975.4,5,18.1,20.1
13,976.3,5,14.9,17.1
15,975.7,5,13.1,14.8
9,975.7,5,13.1,14.8
12,976.1,5,12.2,13.8
